title	abstract	keywords	discipline	category
高背鲫成鱼养殖试验	高背鲫栖息于底层,是一种生命力极强的鱼类,对环境具有较强的适应性,在溶氧量较低及碱性较大的水域中都能生存,其耐低氧的临界窒息点为0.1毫克/升.高背鲫属于杂食性鱼类,主要摄食浮游生物中的轮虫、枝角类、桡足类及底栖动物,鱼种和成鱼阶段主要摄食人工饲料、水生昆虫、水生高等植物及有机碎屑和低等藻类.	成鱼_水生高等植物_杂食性鱼类_有机碎屑_水生昆虫_摄食_人工饲料_浮游生物_底栖动物_低等藻类_窒息点_枝角类_适应性_生命力_溶氧量_桡足类_耐低氧_鱼种_水域_生存	水产	农学
基于 DNA 序列分析的刚竹属系统树构建	提取刚竹属中毛金竹、毛竹、龟甲竹、人面竹、紫竹、白哺鸡竹、黄槽竹、芽竹、蓉城竹、红壳雷竹、假毛竹、金竹、黄纹竹等13个竹种的DNA，对其内转录间隔区（ ITS）序列以及maturase K （ matK）序列进行PCR扩增和序列测定。构建了与其亲缘关系接近的刚竹属6个种、牡竹属3个种共22个竹种基于ITS序列的系统发育树和刚竹属7个种、牡竹属3个种共23个竹种基于matK的系统发育树，并探讨了其亲缘关系。结果显示，实验所用的大部分竹种分类结果与传统分类类似，但黄纹竹、毛竹与其他刚竹属竹种的遗传距离较远，却与牡竹属的竹种聚类，与传统分类相左。通过测序分析认为其为杂种的可能性较高，并由此推测杂种的存在是造成竹子分子分类困难的一大原因。	刚竹属_ITS_matK_序列分析_系统发育树	林学/林业工程	农学
对《装饰与罪恶》设计文化思想的扬弃	本文试从罗斯金与莫里斯的观点来看卢斯在《装饰与罪恶》中所提出的观点，并重新审视设计所应遵循的一些基本原理。卢斯认为没有功能意义的装饰就是一种浪费，一种罪恶。这种观点有“得”也有“失”，“得”警示人们不要对物品进行过度的装饰；“失”在于他对装饰的抑制甚至到了将其的地步，或许可以称为“禁欲”主义了。	设计艺术_设计思想_装饰_罪恶_效益_美观_手工艺_艺术原理	艺术学	艺术学
美国战后对华经济政策的演变	二战结束时,中美在经济、政治和文化上处于不同的发展阶段.美国的经济自由主义与国民党政权设计的计划经济在本质上是相冲突的.国民党感兴趣的不是美国的经济自由主义,而是美援.美援加强了国民党政府对美国的经济依赖以及中国政府干预中国经济的倾向.结果,美援不仅没有带来美国人所期待的政治经济效果,反而造成了未所预料的、得不偿失的后果.	美国_国民党_经济政策	历史学	历史学
资产专用性与农业结构调整风险规避	本文在对我国农业结构调整风险问题进行综述的基础上,从资产专用性角度出发,系统探讨了农业结构调整中风险生成机理及其化解的思路.	农业结构调整_资产专用性_交易成本_风险	农林经济管理	管理学
氧化还原条件对红枫湖沉积物磷释放影响的微尺度分析	选取贵州红枫湖为研究对象,在实验室条件下模拟了自然、好氧和厌氧条件下沉积物内源磷的释放过程,联合应用微电极技术和沉积物磷形态分析对沉积物-水界面开展了微尺度观测与研究.结果表明,厌氧条件下红枫湖沉积物总磷含量显著降低,且主要是NaOH提取态磷(NaOH-P)和残渣态磷(rest-P)含量降低所致,厌氧条件下沉积物孔隙水中磷酸盐浓度明显升高,而好氧条件下沉积物孔隙水磷酸盐浓度显著降低,反映厌氧条件显著促进了红枫湖沉积物磷释放.厌氧条件下沉积物内部溶解氧浓度下降、硫还原活动增强可能是导致NaOH-P释放的主要原因.O2浓度的降低加速了沉积物还原作用并产生大量H2S,进而与二价铁离子形成硫化亚铁沉淀,最终导致NaOH-P(Fe-P)释放到孔隙水中.好氧条件向厌氧条件的转换可通过改变沉积物内部pH值分布和微生物活动促使rest-P释放:厌氧条件下,厌氧微生物不仅可以消耗硫酸根产生H2S,导致pH值降低,还可消耗有机质,将有机磷转变为无机磷.上述研究结果表明,沉积物-水界面氧化还原环境可影响沉积物氧渗透深度、pH值分布、微生物活动、硫循环以及有机质降解过程,进而控制沉积物磷的形态转化与释放.联合应用微电极技术和沉积物磷形态分析对湖泊沉积物-水界面开展微尺度观测研究是揭示沉积物内源磷释放机制与控制因素的有效途径.	氧化还原环境_微电极_微尺度_沉积物内源磷_红枫湖	地理学	理学
进一步转变工商职能切实规范执法行为	"近年来,成都市工商系统按照科学发展观和建设和谐社会的要求,切实转变工商行政管理职能,积极推进行政许可和行政执法体制改革,全力打造"执法阳光化、工作精细化、服务人性化、流程标准化"的工作新模式,努力实践科学监管观,依法规范行政许可、行政执法和行政执收行为,不断提高服务经济社会发展的能力."	转变_工商职能_行政执法体制改革_行政许可_工商行政管理职能_经济社会发展_建设和谐社会_科学发展观_工作新模式_服务人性化_依法规范_努力实践_科学监管_工商系统_阳光化_精细化_成都市_标准化_行为_能力	工商管理	管理学
离子液体催化制备5-羟甲基糠醛的研究进展	本文综述了离子液体催化制备5-羟甲基糠醛的研究进展.运用离子液体作为反应溶剂和催化剂,与常规合成HMF的方法相比,其反应在常压、低温下进行,更易于操作控制;副反应数量明显减少,HMF的产率稳定,可达90%;离子液体催化活性稳定,可重复利用,减少了有机溶剂的使用量;利用离子液体作为媒介,能将反应原料从单一的果糖扩展到葡萄糖和纤维素等廉价原料,降低了生产成本.由此可见,运用离子液体催化制备HMF将是今后研究的重点和发展的必然趋势.	离子液体_5-羟甲基糠醛_果糖_催化	化学/化学工程与技术	工学
论当代日本体育政策	运用文献资料法等对日本《体育基本计划》等进行分析.主要结论:日本重视国民体育权利,为所有人创造良好的体育环境；在体育界中加强透明性、公平性、公正性；国家级运动员可作为社会俱乐部指导员,提高地区体育技术水平和发展活跃地区体育；提倡社会各界协同合作共同发展体育事业等.建议:我国应从幼儿期开始制定提高体能的政策计划；为发展体育事业倡导社会各界协同合作精神；提高我国体育界的透明性、公平性、公正性等.	体育管理_体育政策_日本	体育学	教育学
FSH对不同繁殖力山羊产羔性能的影响	河北省中部沧州、衡水、邢台等地同有的冀中山羊具有性成熟早、繁殖力高的优点,一般4月龄可性成熟,长年发情,一年两产或两年三产,平均每胎产羔2.96只,在多羔性能方面有突出表现.试验拟以高繁殖力的冀中山羊为对象,以太行山羊为对照,通过比较山羊繁殖力性状的品种差异,测定不同群体促卵泡素(FSH)在发情周期内的变化,探讨山羊高繁殖力的内分泌机理,以便深入了解冀中山羊品种资源繁殖特性及繁殖性能的变化规律,为高繁殖力山羊遗传资源的合理开发利用提供基础材料.	高繁殖力_冀中山羊_繁殖性能_性成熟_合理开发利用_内分泌机理_遗传资源_一年两产_品种资源_品种差异_基础材料_繁殖特性_发情周期_促卵泡素_变化规律_河北省_中部_以太_性状_邢台	畜牧学/兽医学	农学
铜铬合金时效早期阶段析出相的形貌和结构研究	"用快速凝固法制备不同铬含量的三种铜铬合金粉体Cu-O.34Cr,Cu-O.76Cr,Cu-1.56Cr,并对合金进行时效,用高分辨电镜观察不同时效阶段的结构.在时效的前期阶段观察到两种长周期调制结构.调制结构I是在基体的晶体排列上加入了一个微小的调制形成的,是一个沿三个[111]晶向,周期为7～9的三维无公度调制结构.调制结构Ⅱ是典型的DO3型超结构,和基体具有N-W晶体学位向关系,能谱分析表明调制结构Ⅱ不是共格的BCC铬相,其成分组成[Cu]:[Cr]接近4:1.时效析出贯序可以表达为:FCC基固溶体(无序结构)→FCC演化的调制结构I→调制结构Ⅱ(典型的DO3结构)→BCC的Cr单质析出相.证明了过饱和铜铬合金时效过程的析出机制是以两个亚稳结构为过渡相逐步转变的,而不是"共格的Cr FCC相"或"共格的Cr BCC相"."	金属材料_Cu-Cr合金_时效_调制结构_析出贯序	冶金工程	工学
有机高分子絮凝剂溶解装置设计及其应用	针对具有高效絮凝性能的有机高分子絮凝剂存在易吸潮、难溶解的不足,设计了一种高分子有机絮凝剂的溶解输送装置,该装置简单实用,易于在污水处理生产中推广应用.将该溶解装置用于炼油污水气浮处理的有机絮凝剂溶解,取得良好的效果.	有机高分子絮凝剂_溶解装置_设计_炼油污水_气浮处理	环境科学与工程	工学
8-甲硫基喹啉及其两种衍生物UV-Vis光谱的理论研究	8-巯基喹啉已经被广泛用于合成具有各种发光性能的配合物[1-2],8-巯基喹啉中巯基上的H原子被各种取代基取代后形成的配体,也可以形成各种配合物,但是实验上对于这种类型的配合物研究很少,特别是在它们的应用方面[3].	8-甲硫基喹啉_吸收光谱_B3LYP/6-31+G·_TD-DFT	化学/化学工程与技术	工学
基于测试块滚动的FPGA自测试方法研究	为了满足航天应用高可靠性的要求,实现对航天器FPGA生产和使用过程中可能发生的永久故障的及时检测,文章提出了一种基于测试块滚动的FPGA自测试方法,该方法采用内建自测试的思想,与传统的测试方法相比,可以实现CLB级的故障定位,适用于FPGA芯片的筛选、固化以及在系统运行等各阶段的永久故障检测.	FPGA_内建自测试_故障检测	航空宇航科学与技术	工学
矩形凸肩板拉伸和弯曲时三维应力集中	根据Hellinger-Reissner原理建立了具有一个无外力直表面的三维杂交应力元,将它和具有一个无外力圆柱面的三维杂交应力元联合,可以在相当粗的网格下有效地分析矩形凸肩厚(薄)板的三维(及二维)应力集中.	凸肩板_杂交应力元_三维应力集中	船舶与海洋工程	工学
"寻求超常规发展的着力点——四川省社会科学院"四个跨越"论坛综述"	"2007年初,四川省委提出"推进传统农业向现代农业跨越、工业大省向工业强省跨越、旅游资源大省向旅游经济强省跨越、文化资源大省向文化强省跨越"的战略构想之后,省社科院及时组织力量重点对四川实施"四个跨越"战略的基本内涵、相互关系、现实基础、支撑条件和政策举措进行了研究."	常规发展_着力点_四川省_科学院_四个跨越_支撑条件_政策举措_战略构想_相互关系_现实基础_现代农业_文化资源_文化强省_旅游资源_经济强省_基本内涵_工业强省_工业大省_组织力_社科院	农林经济管理	管理学
磁控溅射制备Cu2 ZnSnS4薄膜的研究进展?	Cu2 ZnSnS4(CZTS)薄膜由于其合适的禁带宽度、高的光吸收系数以及组分无毒、储量丰富等特性，被视为薄膜太阳能电池最佳的吸收层材料之一。磁控溅射是制备CZTS薄膜的主要方法之一，因为其制备过程相对简单且可以产业化，一直是太阳能电池领域的研究热点。从磁控溅射制备 CZTS薄膜的3种路径出发，综述了近年来各种路径在制备CZTS薄膜方面的研究进展，比较了3种路径的优缺点，同时对磁控溅射制备 CZTS 薄膜的发展前景进行了展望。	磁控溅射_Cu2 ZnSnS4_薄膜	材料科学与工程	工学
一种自适应调整K-ρ的混合高斯背景建模和目标检测算法	针对非平稳背景下的复杂场景,该文提出一种自适应调整K-ρ的混合高斯背景建模和目标检测算法.该方法利用混合高斯模型(GMM)学习每个像素在时间域上的分布,构建自适应调整高斯分量K的方法,并针对不同情况,对描述像素的高斯分量数进行增加、删除或合并;在此基础上,模型参数更新式中引入了两个新的参数,能够根据实际情况自适应调整ρ值,使得背景建模和目标检测能够准确实时地随像素变化而变化,从而减少了运动目标信息的损失,提高了算法的鲁棒性和收敛性.实验表明,该算法在有诸多不确定因素的序列视频中能够迅速响应实际场景的变化,实现自适应背景建模和准确的目标检测.	运动目标检测_背景建模_混合高斯模型(GMM)_自适应调整K-ρ	信息与通信工程	工学
镍基单晶高温合金扩散阻挡层的研究进展	综述了镍基单晶高温合金扩散阻挡层的国内外研究进展.简要介绍了高温防护涂层/镍基单晶高温合金基体元素的互扩散现象,说明了扩散阻挡层的作用机理,阐述了扩散阻挡层的设计原则和要求,通过对比分析了各类扩散阻挡层的优缺点.最后对镍基单晶高温合金用扩散阻挡层的研究做出了展望.	扩散阻挡层_镍基单晶高温合金_高温防护涂层_互扩散	材料科学与工程	工学
熔融法合成新型磺酸基聚合物MA/SAS	在催化剂超强酸SO24-/ZnO的作用下,以马来酸酐和烯丙基磺酸钠为原料,采用直接熔融合成了新型磺酸基聚合物(MA/SAS),通过单因素试验和正交试验,探讨了其合成工艺条件.同时对聚合物进行IR和差热-热重表征,采用电子显微镜考察了聚合物对CaCO3垢形的影响并探讨了其阻垢机理.试验结果表明:新型磺酸基聚合物具有良好的热稳定性和良好的阻CaCO3垢性能,对CaCO3垢既具有较强的分散作用又具有明显的晶格畸变能力.	熔融法_新型磺酸基聚合物_阻垢性能_阻垢机理	环境科学与工程	工学
公共文化服务网络治理:主体、关系与模式	"公共文化服务网络治理是一个对传统公共文化服务体系在结构、机制、模式上的转换重构过程.在这个过程中,公共文化服务的供给主体将过去主要由政府及其所辖的公益性文化单位构成的"一元化"形态转变为政府、企业、社会组织、社会公民共同参与的"多元化"形态.公共文化服务体系的治理将带来管理理念、组织结构、决策模式、沟通形式、评估标准等诸多要素的改变,并逐步从传统科层管理模式走向网络治理模式."	公共文化服务_网络治理_治理	图书馆、情报与档案管理	管理学
高超声速巡航飞行器纵向气动特性分析	吸气式高超声速巡航飞行器机身/发动机一体化特性使得气动一推进系统之间存在强的耦合作用,这种耦合影响着飞行器气动性能、稳定性和控制.针对耦合对飞行器特性的影响,建立了机身一发动机一体化模型,并进行了气动-推进界面划分.在此基础上,分别计算了高超声速巡航飞行器在进气道打开,发动机不工作以及进气道打开,发动机工作两种状态下的纵向气动特性.仿真结果揭示了高超声速巡航飞行器气动一推进系统之间的耦合以及耦合作用对飞行器气动性能、稳定性的影响.	高超声速巡航飞行器_气动-推进界面_气动特性	军事学	军事学
南海夏季风爆发前后大气环流的演变	利用1958-1997年的NCEP/NCAR再分析资料,以南海夏季风爆发日为临界日,分析了季风爆发前后全球平均环流和扰动环流的演变.结果显示,季风爆发前后气候平均场的环流形势是完全不同的,且这一变化是全球性的.从扰动场的演变看,伴随季风的爆发,扰动环流的变化不仅是全球的,而且具有突发性.分析还指出了南海西南季风的来源和三支越赤道气流的作用,特别是南半球环流的变化以及其对南海夏季风爆发的影响.	南海夏季风_爆发_大气环流演变	大气科学	理学
飞机撞击核反应堆安全壳的动力学分析	运用MSC.DYTRAN软件分析了飞机撞击反应堆安全壳的动力学问题,给出了混凝土的变形图和撞击物的速度变化曲线,比较了选用不同材料模式的计算结果,并与经验公式的结果进行了对比.选用混凝土的帽形材料模型得到结果略低于经验公式的结果.	撞击_失效模式_反应堆安全壳_混凝土结构	核科学与技术	工学
中间“之间”	作为国家支柱产业之一的建筑业,30余年一直呈现出高速发展的态势,尤其2000年以后随着政策的放宽,几个国家重要标杆式工程方案的确定,境外顶级设计公司在中国实践增加,我们的设计视野某种意义上真正打开,同时危机感也随之而来.正是在这样的背景下,我决定离开学习工作十余年的武汉,来到被称之为“南方以南”的城市——深圳,加入到当时刚确定发展方向的CCDI.	支柱产业_学习工作_级设计_国家_工程方案_危机感_建筑业_中国_政策_武汉_态势_视野_实践_深圳_南方_境外_杆式_城市	建筑学	工学
反刍动物瘤胃酸中毒的防治	瘤胃酸中毒是由于反刍动物突然超量采食谷粒等富含可溶性糖类物质,瘤胃内急剧产生、积聚并吸收大量乳酸等有毒物质所致的一种急性消化性酸中毒[1],以往均属于瘤胃积食的范畴.但从20世纪40年代开始,国外学者发现反刍动物过食谷物饲料(高碳水化合物饲料)后,可以导致瘤胃酸中毒.	反刍动物_瘤胃酸中毒_防治_碳水化合物_有毒物质_糖类物质_谷物饲料_瘤胃积食_国外学者_消化性_可溶性_吸收_乳酸_积聚_谷粒_范畴_采食	畜牧学/兽医学	农学
提高黑山铁矿精矿品位的研究与应用	介绍了GYX31-1207型高频振动细筛提高黑山铁矿铁精矿品位研究的情况.实验室试验、工业应用试验表明,该机不仅筛分效率高,提高铁精矿品位明显,且经济效益显著.	高频振动细筛_钒钛磁铁矿_提质降杂	矿业工程	工学
叶子花红色素提取工艺的优化	本文研究了用树脂吸附和分离叶子花红色素,比较了4种树脂对叶子花红色素的吸附,在叶子花红色素提取过程中用AB-8树脂吸附,洗脱剂用40%的乙醇,洗脱效果好,且AB-8树脂使用20次后吸附性能仍稳定.	叶子花红色素_AB-8树脂_吸附	食品科学与工程	工学
评价中心在领导干部选拔中的应用	评价中心起源于德国心理学家1929年建立的一套用于挑选军官的多项评价程序,之后,英、美等国军方机构开始应用评价中心,英国文职人员委员会还将之应用于行政领导.在北美和西欧,评价中心被成功地运用于军事和商业已有半个多世纪.	评价中心_行政领导_干部选拔_应用_心理学家_文职人员_评价程序_委员会_运用_英国_西欧_套用_商业_起源_军事_军官_机构_德国	公共管理	管理学
非线性光环路镜压缩光脉冲的理论和数值分析	阐述了非线性光环路镜(NOLM)的基本原理.通过研究它的光学特性,我们发现,由于自相位调制(SPM),NOLM有压缩光脉冲脉宽的功能.因为光的克尔效应是瞬时的(2～4 fs),所以NOLM的这种功能在高速光纤通信系统中有潜在的应用前景.	非线性光环路镜_自相位调制_光脉冲压缩	信息与通信工程	工学
外电场下应变量子阱中电子与空穴的本征态	考虑自发与压电极化引起的内建电场,自由电子-空穴气屏蔽效应和外加电场,基于常微分数值计算,自洽求解电子与空穴的薛定谔方程和泊松方程以获得摹态能级.以典型的CaN/AlxGa1-xN纤锌矿氮化物应变量子阱为例,通过数值求解,得到电子与空穴的本征基态能和相应本征波函数.计算结果表明:沿量子阱生长方向所施加的外加电场将抵消阱中内建电场的作用,阱结构的弯曲程度略显平缓,使电子(空穴)本征波函数逆(顺)着外电场方向移动,且均向阱中心移动,波峰峰值增加,隧穿几率减小;在固定外电场情况下,电子与空穴基态能级随阱宽的增加而减小,随掺杂组分的增加而增加,表明外加电场对内建电场有所削弱以及量子限制作用对电子(空穴)基态能有显著的影响.	定态薛定谔方程_电子-空穴气的屏蔽_内建电场_本征态	光学工程	工学
不同身份下岗职工的再就业	"本文通过对下岗职工再就业状况的分析指出,下岗职工的再就业,一方面体现着养家鍸口的压力,另一方面也体现着因为就业状况的变化而导致的社会职业与社会地位状况的变化.故不同身份下岗职工的再就业,就在"给钱就干"与"找满意的工作"之间存在多种选择.进一步的研究还发现,学历水平较低者与学历水平较高者都需要较长时间去寻觅工作;下岗职工原单位的单位类型、原工作职位以及政府各部门举办的转岗转业培训等,也对其再就业具有显著影响."	身份_下岗职工_再就业_就业状况_社会地位_单位_转业_职业_政府_压力_选择_培训	社会学	法学
市场经济伦理的本质及其价值功能	"市场经济伦理在本质上是人类"实践--精神"把握市场经济的特殊方式,它既具有对市场经济发展的功利性价值,又具有对人性发展的目的性价值.加强市场经济伦理建设是完善社会主义市场经济的必要条件,是规范社会主义市场经济的治本之策."	市场经济伦理_本质_价值功能	哲学	哲学
核电厂汽轮机滑油冷却器新结构性能研究	为了克服传统弓形折流板管壳式滑油冷却器的固有缺点,提出了双层连续螺旋折流板管壳式滑油冷却器.采用Realizable k-ε湍流模型结合标准壁面函数的方法,对比分析了弓形折流板管壳式以及单、双层连续螺旋折流板管壳式滑油冷却器的壳侧流线分布及传热和阻力性能.结果表明:与弓形折流板相比,连续螺旋折流板壳侧不存在流动死区,壳侧传热系数有所增大,压降有所降低,综合性能显著提高;双层连续螺旋折流板的壳侧传热系数介于弓形折流板和单层连续螺旋折流板之间,压降最低,综合性能与单层连续螺旋折流板相当.	螺旋折流板_弓形折流板_滑油冷却器_核电厂汽轮机_数值模拟	动力工程及工程热物理	工学
2003年6月24～25日江南特大暴雨数值模拟和诊断分析	采用NCAR、NCEP和FSL/NOAA等共同研制的新一代细网格WRF中尺度数值模式,对2003年6月24～25日江南地区出现的一次特大暴雨过程进行了数值模拟,并利用模式输出的高分辨率动力协调资料进行了初步诊断分析.结果表明:WRF模式比较成功地再现了高低空环流形势的演变及暴雨带的分布特征;低层切变线上分布不均匀的辐合区,中低层正涡度区、高层负涡度区的配置有利于造成较强烈的中尺度上升运动;同时有很强的湿度锋区,大气处于不稳定状态.分析发现,沿850hPa切变线的局地风暴相对螺旋度与暴雨有很好的对应关系.	中尺度WRF模式_特大暴雨_数值模拟_诊断分析	大气科学	理学
基于贡献率模型与GIS的滑坡地质灾害风险评价——以沐川县为例	以沐川县滑坡灾害风险性评价为例,选取沐川县地层岩性、高程、地形起伏度、坡向因子、剖面曲率、平面曲率6个因子作为危险性评价因子,人口密度、林地密度、耕地密度、滑坡灾害密度4个指标作为易损性评价因子,利用贡献率模型求出区域滑坡灾害的易损性与危险性,在GIS中对2因子进行叠加运算得到区域滑坡的风险区划图.结果表明,沐川县极高风险区主要出现在海云乡内,较高风险性区主要出现在武圣乡境内,高风险性区分布在黄丹镇、箭板镇、建和乡以及永福镇.	滑坡_贡献率模型_地质灾害_风险性评价	矿业工程	工学
从抑制素谈无公害鱼药的开发	近年来,我国水产养殖发展迅速,环保和食品安全也越来越受到大家的关注.但是在外用杀菌、杀虫方面过分依赖高毒和高残留的化学药物,尤其是菊酯和有机磷的大量使用已严重影响水产养殖的可持续发展.目前安全有效的新型调水制品越来越受到重视,在认识和实践中取得了很大提高,主要体现在以下几个方面:①法规制订将会更加严格,以有效保护水体环境;②微生物	抑制素_无公害_鱼药_水产养殖_认识和实践_可持续发展_有效保护_水体环境_食品安全_化学药物_有机磷_微生物_法规制_制品_外用_杀菌_杀虫_菊酯_环保_调水	水产	农学
安宁绿波带--一种改善安全和减少环境影响的新思路	介绍法国提出的安宁绿波带原理及其在几个城市中的应用情况,并对其对交通安全和环境的有益影响进行了评价,最后简要论述了安宁绿波带对我国城市干线控制的现实意义.	绿波带_交通安全_安宁_交通控制	交通运输工程	工学
