title	abstract	keywords	discipline	category
暖温带幼林树轮宽度气候变化响应分析--以山东蒙山黑松树轮气候研究为例	根据采自山东蒙山地区两组幼龄黑松树木年轮样本，研制出单点和区域树轮宽度年表，分析了蒙山黑松树轮宽度年表的统计参数和径向生长的气候限制因子，并尝试重建相关密切的气候因子，探讨蒙山黑松径向生长与大范围气候变化的关联。研究结果表明，(1)蒙山黑松树轮宽度年表的统计参数都比较高，说明蒙山黑松树轮宽窄变化包含有较多的气候环境变化信息。(2)蒙山黑松径向生长变化与当年4~9月降水量呈显著正相关。同时，当年5~7月异常高温也对蒙山黑松径向生长变化产生显著抑制。通过黑松树轮宽度年表对4~9月降水量的模拟重建结果表明蒙山黑松具有较大树轮气候研究潜力。(3)蒙山黑松树轮宽度生长与太平洋大范围气候波动存在显著关联。	蒙山_黑松_树轮宽度_气候响应	林学/林业工程	农学
关于集成化汽车故障诊断系统及其支持技术研究	集成化汽车故障诊断系统有两种不同的体系结构,可由状态检测、信息融合、故障诊断、网络信息获取以及网络通讯等模块构成.在系统分析各模块功能得基础上,论述了检测设备仪器通讯的标准化、故障诊断专家系统的通用化、故障诊断推理方法的多元化和故障诊断知识获取的网络化是实现集成化汽车故障诊断系统的关键性支持技术.	汽车_故障诊断_集成系统_网络化	交通运输工程	工学
北秦岭西段胡店片麻状二长花岗岩LA-ICP-MS锆石U-Pb测年及其地质意义	北秦岭西段陕西胡店片麻状细粒二长花岗岩中获得(1770±13)Ma的LA-ICP-MS单颗粒锆石微区U-Pb同位素年龄:岩石地球化学资料研究证明,该片麻状细粒二长花岗岩形成于板块边缘的俯冲一碰撞构造环境,岩浆源于部分熔融的中上地壳物质.该变形侵入体形成的地质构造背景及时代与太白岩基巩坚沟变形侵入体基本一致.代表了北秦岭造山带西段古元古代末、中元古代初期的一次强烈的构造岩浆事件.该事件与中国的吕梁运动时代大体相当,可能与Columbia超大陆的形成有一定的成因联系.这一新的资料,对研究北秦岭造山带元古宙大地构造格局、构造演化及中国大陆动力学具有重要意义.	北秦岭造山带_胡店片麻状二长花岗岩_U-Pb同位素_吕梁运动_ColuInbia超大陆	地质学/地质资源与地质工程	理学
太阳河自然保护区西南桦天然次生林乔木种群生态位分析	采用种群重要值、生态位宽度和生态位重叠等研究方法,对云南省太阳河自然保护区的西南桦天然次生林进行群落的物种组成以及种群间的相互关系的研究.结果表明,西南桦和红木荷在群落中的优势地位明显,重要值分别是16.87%和15.17%;生态位宽度排前5位的物种分别是红木荷、西南桦、岗柃、红皮水锦树和截头石栎.西南桦天然次生林种群重要值与生态位宽度之间存在极显著的正相关,且可用Growth函数表示;生态位宽度大的种群间生态位重叠值也往往较大,西南桦与其它种群之间的生态位重叠值大于0.8的有6个,显示出西南桦种群与其它种群间存在较强的资源利用性竞争.	西南桦林_红木荷_重要值_生态位宽度_生态位重叠_相关性分析	林学/林业工程	农学
锌对孕期暴露脂多糖Wistar大鼠雌性成年子代行为的影响及其机制	目的:探讨硫酸锌(ZnSO4)注射液对孕期暴露于脂多糖(lipopolysaccharides,LPS)大鼠雌性成年子代的行为、神经免疫功能的影响及其机制.方法:随机将15只孕期(孕期0～9.5 d) Wistar大鼠分为3组,分别注射LPS和ZnSO4(LPS+Zn组)、LPS和无菌生理盐水(saline,SAL) (LPS+SAL组)、SAL和SAL(SAL+SAL组).产后81～86 d,从每窝选取2～3只雌性成年子代(10～12只/组),动情间期将大鼠放置在抑制性应激反应管道2h,在最后5 rin,播放不同音频的超声波,记录大鼠保持寂静的时间(寂静期).超声波测试后,立即将雌性成年子代放置在开放场域中,测定其运动和焦虑状态.开放场域行为测试后,立即取大鼠躯干血,采用酶联免疫吸附实验(enzyme-linked immunosorbent assay,ELISA)测定血清皮质酮、脑源性神经营养因子(brain-derived neurotrophic factor,BDNF)水平;采用高效液相色谱法(high performance liquid chromatography,HPLC)测定大鼠下丘脑和纹状体的单胺及其代谢产物水平.结果:与LPS+SAL组、SAL+ SAL组相比,LPS+Zn组的雌性成年子代大鼠呈现最大音频寂静持续时间延长(P＜0.05或P＜0.01)、行走距离延长(P＜0.05或P＜0.001)、平均速率加快(P＜0.05或P＜0.001)、自我梳理时间缩短(P＜0.001或P＜0.01)、纹状体去甲肾上腺素代谢率降低(P＜0.05或P＜0.01)的特征.与LPS+SAL组相比,LPS+Zn组大鼠的血清皮质酮水平降低(P＜0.05).结论:ZnSO4注射液作用于孕期遭受感染或炎症的母体,在急性抑制应激期后,其雌性成年子代应激反应减轻.即孕期为感染的母体注射ZnSO4也许是一个潜在的、有益的保护其子代行为的防治措施.	锌_孕期_大鼠_脂多糖_子代_应激反应	食品科学与工程	工学
改进的遗传优化算法在节点定位中的应用	针对无线传感器网络算法定位精度不高的问题，提出一种定位算法（GADO），该算法将动力学中进化计算和遗传算法中迭代优选相结合。用GADO算法求解网络信标节点与经典的DV-hop定位算法、遗传算法进行对比，改进的算法定位误差明显减少，精度更好。	动力学_遗传算法_定位算法_精度	计算机科学与技术	工学
求真务实 追求发展--黑龙江省图书馆学会工作新途径	随着知识经济时代的来临,省级图书馆学会应在运行机制和管理手段方面,勇于创新,以此提高本区域学术队伍的整体素质.本文介绍了学会工作在这方面所发挥的实际作用.	学会工作_发展_创新	图书馆、情报与档案管理	管理学
非水合质子导电膜材料的研究与应用	质子传导和质子导电材料在电池、电化学传感器、水/蒸汽电解以及生物系统中起着越来越重要的作用.质子导体是近年来材料科学和技术领域中发展较为迅速的学科.	水合_质子导电材料_膜材料_电化学传感器_质子导体_质子传导_生物系统_技术领域_材料科学_蒸汽_学科_电解_电池	电气工程	工学
超越结构功能主义:中国传播学的前世、今生与未来	清理与反思,是我们这次对话会的主旨.传播技术变革激发的史无前例的社会巨变,也为此提供了一个清晰的现实场景,这一切似乎都是非常确凿的.问题是,我们将如何理解这次对话的意义?如果我们以为自己是在书写中国传播学历史中的一页,那么我们是在福柯所言的哪个层面把这个环节编织进既有的传播学历史中?福柯以为,在那些被称为观念史、思想史等等的学科中,人们的注意力已从原来描绘“时代”或者“世纪”的广阔单位转向断裂现象.	结构_功能主义_中国_传播学_现实场景_社会巨变_历史_技术变革_对话_断裂现象_注意力_思想史_观念史_转向_学科_书写_时代_单位_编织	新闻传播学	文学
TPV系统热辐射发电模块数值分析	建立TPV系统热辐射发电模块的数理模型,通过数值模拟获得SiC辐射器分别配合GaSb和Si电池所构成的TPV系统的输出伏安特性曲线;以GaSb电池为例,分别分析SiC辐射器温度和电池温度对系统性能的影响,得出如下结论:辐射器温度升高,系统输出电能密度迅速增大,电池效率稳步提高,辐射器温度从1 400 K升至1 900 K,系统输出电能密度从0.67 W·cm-2增至5.43 W·cm-2,电池效率从16.3%上升到24.8%;电池温度升高导致系统性能下降,电池温度每升高10 K,系统输出电能密度减少约0.15 W·cm-2,电池效率也大幅下降.最后讨论与GaSb匹配的一种选择性辐射器的辐射能量分布情况,与SiC辐射器相比,选择性辐射器可以显著减少辐射能量中的不可用部分,从而有效提高系统的性能与稳定性.	TPV_系统输出电能密度_电池效率	物理学	理学
有机酸强化脱硫在喷射鼓泡反应器上实验研究	选取甲酸、乙酸、乙二酸和己二酸,在喷射鼓泡反应器上对有机酸强化脱硫过程进行了实验研究,测定了脱硫率η和△pH随时间t的变化规律,得出了η与t的回归式及η与pH值的关系规律,讨论了有机酸浓度C(与所加石灰石摩尔百分比)对CaCO3利用率α及脱硫率η的影响.实验表明,乙二酸无强化效果,甲酸、乙酸、己二酸强化效果较好,浓度C超过4%时,强化效果的提高已不明显.当浓度为C为4%时,η与α分别提高了5、4、11及8、6、16个百分点,可见有机酸能有效的提高脱硫率η和CaCO3利用率α,从而降低脱硫成本.	有机酸_石灰石_喷射鼓泡反应器_脱硫	环境科学与工程	工学
可持续的城市规划与建设花桥国际商务城的规划建设实践	花桥国际商务城的建设是江苏昆山城市发展战略转移的重要节点,规划建设以可持续发展思想为指导,突出金融服务业的鲜明特征,依托上海的区位和交通优势,良好的生态环境和多元文化特色打造成为上海国际大都市的卫星商务城.	花桥_可持续发展_金融服务外包_生态商务城_多元文化	建筑学	工学
江苏沿海大风特征及其变化分析	利用1981-2010年江苏沿海地区的大风资料,分析30 a沿海大风气候特征,结果表明:江苏沿海地区最大风速≥6级和≥8级大风,呈逐年递减趋势.夏季,江苏沿海大风以东南风为主;秋、冬季,以偏北风为主;而春季,沿海大风以偏北风为主,东南风次多.冷空气偏北大风以冬季最为常见,低压(气旋)大风和入海高压后部大风易发生在春、夏两季,雷雨大风主要发生在夏季,台风大风主要发生在夏季和秋季.	沿海大风_雷雨大风_季节特征_天气成因	大气科学	理学
超声波处理对鸭肫腌制工艺的影响研究	以腌制品色泽和食盐含量为主要指标,探讨采用超声波腌制对鸭盹腌制工艺的影响研究.试验结果表明:鸭肫超声波腌制的最佳工艺参数为:超声波功率160W、腌制液食盐浓度12%、超声波腌制时间100min;超声波能有效地促进盐分的扩散与渗透,提高腌制品的蛋白质可消化性,且样品色泽与新鲜原料接近.	超声波_腌制工艺_鸭肫	食品科学与工程	工学
高温水中不锈钢和镍基合金应力腐蚀破裂研究进展	综述了近 20年来国内外对高温水中不锈钢和镍基合金应力腐蚀破裂研究的最新研究结果，主要考察了溶解氧、溶解氢、侵蚀性阴离子、温度、材料冶金条件等因素对应力腐蚀裂纹萌生和扩展的影响。	核能_高温水_不锈钢_镍基合金_应力腐蚀破裂	核科学与技术	工学
Nb、Ti微合金钢中碳氮化物固溶与再析出的研究	利用光学显微镜(OM)、透射电子显微镜(TEM)研究了再加热温度、奥氏体区变形温度和组织转变温度的变化对Nb、Ti微合金钢组织性能及其碳氮化物固溶与再析出行为的影响.结果表明:钢中加入铌,主要利用铌的碳氮化物在奥氏体形变过程中的再析出,抑制形变奥氏体的再结晶,在随后的组织演变过程中细化了组织;而钢中加入较高含量的钛,主要利用钛的碳化物在铁素体中的析出,产生明显的沉淀强化作用.这主要是铌、钛的碳氮化物固溶后,在奥氏体和铁素体中再析出的不同所造成的.钢中复合加入Nb-Ti后既起到细化晶粒的作用,又起到析出强化的作用.细晶强化既提高钢的强度又提高钢的韧性,但沉淀强化在大幅提高钢的强度的同时恶化了钢的韧性.	微合金钢_碳氮化物_细晶强化_沉淀强化_组织演变	材料科学与工程	工学
ITO/Rubrene表面及界面的AFM和XPS研究	采用原子力显微镜(AFM)和X射线光电子能谱仪(XPS)研究了氧化铟锡(ITO)/红荧烯(Rubrene)的形貌和表面、界面的电子态.AFM结果显示,ITO上的Rubrene膜有良好的均匀性.XPS结果表明:C1s谱有3个峰,位于282.50,284.70,289.30 eV,对应于C—Si、C=O和C—C键.用氩离子束溅射表面,芳香碳对应的峰值逐渐增大,其他两个峰值迅速消失.随着表面O污染的去除,O1s峰先快速减弱然后逐渐增强.界面附近的O原子与C原子结合构成O=C、C—O—C和醛基.In3d和Sn3d峰则缓慢增强,在界面附近峰值变得稳定.C1s、In3d、Sn3d谱峰都向低束缚能发生化学位移,表明ITO与Rubrene在界面发生了相互作用,形成一个互扩散层.	XPS_Rubrene_化学位移_界面态	光学工程	工学
几种杀菌剂及其混配剂对香蕉枯萎病菌的毒力测定	采用菌丝生长速率法测定了8种杀菌剂对香蕉枯萎病菌的毒力,并在此基础上用Horsfall的毒力试验设计和共毒系数法进行了混配剂的筛选. 结果表明:450 g/L咪鲜胺EW的EC50值最小,为0.038 4 mg/L,毒力最强;450 g/L戊唑醇SC、25%吡唑醚菌酯EC、30%丙环唑·苯醚甲环唑EC、50%多菌灵WP、25%丙环唑EC、10%苯醚甲环唑WG、15%霉灵AS的毒力依次减弱,EC50 值分别为:0.245 8、0.385 7、0.943 5、1.379 8、2.438 4、10.981 4、33.333 0 mg/L. 多菌灵与霉灵按EC50值剂量9∶1比例混配后共毒系数为131.63,具有一定的增效作用,多菌灵与丙环唑按EC50值剂量3∶7的比例混配后共毒系数为691.87,具有显著的增效作用. 咪鲜胺与霉灵、咪鲜胺与丙环唑、咪鲜胺与多菌灵3组混配药剂均无显著增效作用.	香蕉枯萎病菌_杀菌剂_毒力测定_增效作用	植物保护	农学
高压超临界萃取装置的模糊PID控制方法	高压超临界萃取控制参数具有时变、非线性的特点,对其进行精确控制具有很大难度.PID控制广泛应用于工业过程控制,但常规PID控制器参数对运行工况的适应性差.模糊控制具有不依赖系统数学模型、调节速度快、鲁棒性好等优点,但稳态精度欠佳.将PID控制与模糊控制相结合,设计了模糊PID反馈控制器,形成了模糊PID复合控制方法.以软件代替硬件,利用某公司的S7-200 PLC编程语言STEP7编制了模糊PID控制程序,并结合组态王工控软件实现了高压超临界萃取装置的模糊PID控制.研究表明,模糊PID控制较小的超调量保证了超临界介质溶解度的稳定性,所建立的超临界萃取控制系统较强的抗干扰性、灵活性,保证了超临界萃取过程的稳定性和萃取效率.	PID_超临界萃取_模糊控制_S7-200	控制科学与工程	工学
城市化对水系结构及其连通性的影响——以秦淮河中、下游为例	针对当前城市化所引起水系衰减、河流连通受阻以及由此所引起洪涝与水环境的问题,以秦淮河中、下游为例,选取1979和2006年两期流域遥感影像,分析了城市化影响下的下垫面变化特征；选取1980s和2009年的地形图对河流水系进行提取,借鉴景观生态学中河流廊道空间结构分析方法,通过不同时期水系分级,探讨了城市化对水系结构及其连通性的影响.结果表明:(1)城市化使得2006年城镇用地面积相比1979年增加84.54 km2,增加了9倍多,大量林草地、耕地以及水域转变成城镇用地；(2)河流长度在过去的30年里减少了41％,河道主干化趋势明显；河流发育呈现由多元到单一、由复杂到简单的趋势；(3)连通性参数连接率、实际结合度分别由原来的1.28、0.43下降到0.79、0.26,河流的连通性呈下降趋势.该研究将为城市化地区河流水系保护提供支持与参考.	水系结构_连通性_城市化_秦淮河	地理学	理学
重力坝地质力学模型变位特征及安全系数分析	为了获取某重力坝典型坝段的安全系数,对该重力坝段进行了地质力学模型试验.试验中采用传统的差动式位移监测技术和新型光纤传感技术进行位移监测,并用刚体极限平衡法计算了安全系数.研究结果显示:两种监测手段所测得的位移与荷载关系曲线较接近,表明采用光纤传感器监测坝体和坝基位移具有可靠性;刚体极限平衡法计算所得安全系数与超载试验获得的安全系数在数值上较为接近,说明模型试验的结果是可靠的.	光纤传感器_位移监测_重力坝模型_安全系数	水利工程	工学
高钙飞灰的矿物学组成及微区特征研究	对小龙潭电厂飞灰及不同密度级的分选灰的矿物学和颗粒微区特征进行了详细研究,高钙飞灰中的含钙矿物主要包括石灰,硬石膏,钙黄长石,镁黄长石和氢氧钙石;同时含有少量斜硅钙石,方解石,钙铁石,陨硫钙石,钙铁榴石和钙铝榴石;不同密度级分选灰矿物组成和微区特征差异很大.石英、莫来石主要存在于低密度级飞灰;石灰、硬石膏在漂珠中明显富集;斜硅钙石和钙铝榴石主要存在于沉珠中;含铁矿物赤铁矿,磁铁矿以及钙铁石在重灰和沉珠中的含量明显高于漂珠和轻质灰.	高钙飞灰_密度分选_矿物学_微区特征_煤燃烧	动力工程及工程热物理	工学
随机微分方程的强解	在这篇文章中我们通过一种去掉扩散系数的变换证明了随机微分方程强解的存在唯一性.	It(o)-Ventzell公式_随机偏微分方程_常微分方程	数学	理学
光学非球面三坐标测量中的像散补偿	利用三坐标测量仪在光学非球面镜研磨与粗抛阶段进行面形检测时,测量结果常由于补偿程序不完善而出现像散误差.本文分析了非球面三坐标测量得到的数据,指出测量结果中出现像散误差是测头半径补偿不准确所致.然后,提出了一种离线数据处理方法对测量数据进行补偿来消除像散误差.该方法通过计算网格排列的测头中心点行和列方向的切向量得出曲面上每个点的法向矢量;根据测头半径计算出测头球心到接触点的偏移量,从而实现三坐标测量仪的三维测头半径补偿.球面样板实验显示这种方法可以将该样板测量中的像散峰谷值(PV)由4.921 9μm减小到0.065 2μm,基本消除了测量结果中的像散误差,提高了三坐标测量结果的准确度.实验结果验证了提出的三维测头半径补偿程序的有效性.	非球面检测_三坐标测量仪_测头半径补偿_像散补偿	光学工程	工学
基于DEM的分布式并行通视分析算法研究	从负载均衡的角度详细分析了数据并行的特征,提出一种通用且有效数据可达的DEM数据划分策略.基于该方法设计了分布式并行通视分析算法,以全国90 m SRTM作为数据源,对算法的执行效率进行实验,结果表明:基于海量地形数据进行分布式并行通视分析的计算效率与进程数具有一定的关系.另外,算法的并行性能在一定程度上受到地形数据的影响.该文提出的方法有效地提高了海量数据的通视分析算法的计算效率,动态数据划分方案有望为并行环境下地形分析提供新的思路.	DEM_通视分析_分布式并行_加速比	地理学	理学
一种基于谱分析的非带限卫星信号信噪比估计算法	为了实现对非带限卫星信号信噪比的快速高精度估计，分析了传统的基于谱分析的信噪比估计算法的对非带限卫星信号估计不准的原因，提出了一种新的基于谱分析的信噪比估计算法；该方法利用主瓣范围内信号功率与信号总功率之比和主瓣范围内噪声功率与噪声总功率之比求得信号功率和噪声功率，从而得出信噪比；对BPSK和QPSK信号的仿真结果表明：新算法性能稳定，可有效提高估计精度，在－10～10 dB的范围内，估计的偏差和均方根误差基本都小于0．5 dB；提出的新的基于谱分析的信噪比估计算法可用于各种调制方式，计算复杂度小，可以满足对非带限卫星信号信噪比估计的需求。	信噪比估计_谱分析_非带限_卫星信号	军事学	军事学
小动物PET/CT活体成像时小鼠体温控制系统的设计	目的 设计出不影响图像质量的加热系统,以消除小动物PET/CT活体成像时影响肿瘤代谢的体温因素.材料与方法 在研究易瑞沙疗效时发现,未使用加热系统时小鼠PET/CT图像的非特异性区域显著,但是肿瘤处不显著,严重影响了研究者对药物疗效的判断,需要设计加热系统使小动物在实验过程中体温保持恒定.实验中选择Siemens Inveon Micro PET/CT作为实验工具和环境,将镍铬电阻丝按照正弦形缠绕在盛放小鼠的碳纤维板上,利用Ptl00温控电阻反馈碳纤维板的温度.加热前,碳纤维板的温度处于设定的下限(28℃)以下,继电器开关闭合,电源对电阻丝加热.当温度上升到设定的温度上限(30℃)时,继电器开关打开,电源停止加热.系统中电阻丝的发热功率为3.42 W,加热系统的产热量能够维持小鼠的体温稳定.结果 加热后小鼠的PET/CT图像中,肿瘤处的成像得到明显改善,非特异性区域不再出现强放射性.在1％的显著水平下,与加热前相比,加热后5组小鼠肿瘤处的每克组织摄取率得到明显提升.结论 安装加热系统后,系统不会产生影响小鼠图像的伪影,非特异性区域不再显著,肿瘤代谢正常.	正电子发射断层显像术_体层摄影术,X线计算机_体温_加热系统_疾病模型,动物_大鼠,裸	基础医学/临床医学	医学
"SST对台风"珍珠"影响的数值试验"	"本文使用了最新的中尺度大气模式WRF模式,结合Nudging方法和自动移动嵌套方法,采用TRMM/TMI观测资料和NCEP1°×1°再分析资料,进行了5组数值试验,模拟了0601号台风"珍珠",分析了在台风作用下的海面降温对台风路径和强度的影响,对比各组模拟结果表明,SST的变化对台风路径和强度都有较大影响,采用了TRMM/TMI观测资料后,能够显著提高对热带气旋强度的模拟,此外,数值模式模拟结果还表明:SST每增加或减少1℃,热带气旋的最低气压大约增加/减少16 hPa."	WRF_数值试验_SST_台风	海洋科学	理学
依维莫司的合成	乙二醇依次与叔丁基二苯基氯硅烷、对甲基苯磺酰氯、溴化钠反应生成(2-溴乙氧基)叔丁基二苯基硅烷,再与西罗莫司、三氟甲磺酸银反应生成40-O-(2-叔丁基二苯基硅氧基乙基)雷帕霉素,再水解生成依维莫司,总收率约43％.	依维莫司_大环内酯类化合物_抗肿瘤药_三氟甲磺酸银_合成	药学	医学
由斑玛云杉年表重建青海高原东南部夏季降水序列	用青海省东南部斑玛地区的一个云杉年表与其周围的单站和区域的气象要素反复校准和验证,发现该云杉年表对其临近的单站或所在区域的盛夏降水都有很强的响应,并确认了这种关系显著且稳定,说明了它可以反映青海高原东南部夏季降水的变化.而它与各月气温和冬、春、秋季降水均无明显关系.因此我们用它重建了该地区盛夏(7月)265年(1723～1987年)雨量.并对重建的区域降水进行了统计分析.	云杉_年轮_夏季降水_青海高原	大气科学	理学
韶钢2200 m3高炉炉凉事故的处理	对韶钢2200m3高炉炉凉事故发生的原因进行了分析,认为原燃料质量下降、高炉操作处理不当和冷却设备漏水、监测设备损坏是造成炉凉的主要原因.并对炉凉事故的处理经验进行了总结,提出了预防措施.	大型高炉_炉凉_高炉操作_原料	冶金工程	工学
一种新型二维光正交码的设计及性能分析	在保证误码率较低的前提下,为了获得较大的码容量,现以扩展二次素数码作为扩时序列,以二次全等跳频码作为跳频序列,构造出了一种新的二维光正交码ESPC/QCHC.分析了ESPC/QCHC的码字性能,得到了该码字的平均互相关表达式.对该码字的码字容量进行理论分析,并对其误码率进行了MATLAB仿真.结果表明,当码重(或码长)一定时,增加频率片数会降低误码率;同其他几种以素数码作为扩时序列构造出的二维光正交码相比,该码字有较低的误码率,较大的码容量.最后在Optisystem7.0中对ESPC/QCHC在光码分多址系统中的误码率进行仿真分析,验证了其有较好的误码性能.	光码分多址系统_扩展二次素数码_二次全等跳频码_误码率	信息与通信工程	工学
河蟹蜕壳时的管理措施	近几年来,我们对河蟹蜕壳前后的管理与最后的收成效益关系进行了观察研究,取得了一定的经验.现小结如下:	河蟹_蜕壳_效益_经验_管理	水产	农学
